qq,creditor,debtor,amount
93,UK,Russian Federation,41
94,UK,Brunei,1
95,UK,Germany,6
96,UK,Japan,18
97,UK,Hungary,1
98,UK,Jamaica,25
99,UK,Jordan,1
100,UK,Algeria,2
101,UK,Brazil,1
102,UK,Nigeria,11
103,UK,Morocco,2
104,UK,Greece,50
105,UK,Palestine,1
106,UK,Lebanon,24
107,UK,Portugal,7
108,UK,Malta,1
109,UK,Taiwan,1
110,UK,Ukraine,1
111,UK,Turkey,14
112,UK,Indonesia,6
113,UK,Tunisia,2
114,UK,Lithuania,1
115,UK,Cuba,1
116,UK,Thailand,33
117,UK,Peru,1
118,UK,Nepal,4
119,UK,Pakistan,21
120,UK,Philippines,7
121,UK,Romania,4
122,UK,Canada,1
123,UK,Poland,4
124,UK,Ivory Coast,1
125,UK,Switzerland,3
126,UK,Colombia,1
127,UK,China,39
128,UK,Afghanistan,1
129,UK,Iraq,8
130,UK,Yemen,5
131,UK,Egypt,25
132,UK,Islamic Republic of Iran,4
133,UK,Armenia,1
134,UK,Italy,120
135,UK,Ecuador,1
136,UK,South Africa,17
137,UK,Austria,3
138,UK,India,215
139,UK,Vietnam,2
140,UK,Ethiopia,4
141,UK,Ireland,35
142,UK,Cape Verde,1
143,UK,Spain,14
144,UK,Ghana,5
145,UK,Syria,1
146,UK,Kyrgyzstan,1
147,UK,Uzbekistan,1
148,UK,Myanmar,25
149,UK,Singapore,4
150,UK,Israel,10
151,UK,Cambodia,1
152,UK,El Salvador,1
153,UK,US,55
154,UK,South Korea,17
155,UK,Malaysia,2
156,UK,Mexico,21
157,Italy,Belgium,1
158,Italy,France,40
159,Italy,Denmark,1
160,Italy,Germany,6
161,Italy,Japan,23
162,Italy,Hungary,1
163,Italy,Algeria,9
164,Italy,Brazil,4
165,Italy,Philippines,6
166,Italy,China,16
167,Italy,Russian Federation,4
168,Italy,Lebanon,8
169,Italy,Portugal,5
170,Italy,Malta,16
171,Italy,Turkey,8
172,Italy,Sri Lanka,1
173,Italy,Nigeria,2
174,Italy,Tunisia,19
175,Italy,Cuba,2
176,Italy,Thailand,1
177,Italy,Netherlands,1
178,Italy,Nepal,1
179,Italy,Austria,10
180,Italy,Romania,2
181,Italy,Egypt,4
182,Italy,Poland,1
183,Italy,Switzerland,6
184,Italy,Colombia,1
185,Italy,Greece,9
186,Italy,Iraq,3
187,Italy,Canada,1
188,Italy,Islamic Republic of Iran,2
189,Italy,Armenia,1
190,Italy,South Africa,11
191,Italy,Argentina,1
192,Italy,Israel,2
193,Italy,India,13
194,Italy,Ethiopia,5
195,Italy,Ireland,3
196,Italy,Indonesia,3
197,Italy,Spain,26
198,Italy,Peru,2
199,Italy,Uzbekistan,1
200,Italy,Myanmar,1
201,Italy,Cambodia,2
202,Italy,US,36
203,Italy,South Korea,19
204,Italy,Ukraine,1
205,Italy,Mexico,14
206,Italy,UK,30
207,Spain,France,24
208,Spain,Venezuela,3
209,Spain,Germany,5
210,Spain,Japan,25
211,Spain,Hungary,2
212,Spain,Algeria,4
213,Spain,Brazil,1
214,Spain,Nigeria,2
215,Spain,Greece,11
216,Spain,Russian Federation,16
217,Spain,Lebanon,4
218,Spain,Portugal,11
219,Spain,Taiwan,1
220,Spain,Turkey,3
221,Spain,Cape Verde,1
222,Spain,Tunisia,1
223,Spain,Lithuania,1
224,Spain,Cuba,15
225,Spain,Thailand,5
226,Spain,Peru,21
227,Spain,Philippines,15
228,Spain,Romania,2
229,Spain,Poland,5
230,Spain,Switzerland,2
231,Spain,Colombia,11
232,Spain,China,14
233,Spain,Afghanistan,1
234,Spain,Iraq,2
235,Spain,Egypt,3
