qq,creditor,debtor,amount, risk
456,NL,GB,5.08
457,CA,BD,0.21
458,CA,BE,0.56
459,CA,FR,4.99
460,CA,UA,0.14
461,CA,DE,0.63
462,CA,JP,3.86
463,CA,HU,0.42
464,CA,JM,2.11
465,CA,DZ,0.21
466,CA,GR,3.86
467,CA,RU,0.84
468,CA,LB,2.88
469,CA,PT,0.21
470,CA,MT,0.07
471,CA,TW,0.07
472,CA,TR,1.76
473,CA,NG,0.70
474,CA,TN,0.28
475,CA,LT,0.28
476,CA,CU,0.14
477,CA,TH,1.26
478,CA,NL,0.56
479,CA,NP,0.14
480,CA,PK,0.91
481,CA,PH,2.53
482,CA,RO,0.14
483,CA,EG,0.42
484,CA,PL,0.21
485,CA,CI,0.07
486,CA,CH,0.42
487,CA,CO,0.14
488,CA,CN,11.17
489,CA,AF,0.35
490,CA,IQ,0.42
491,CA,YE,0.21
492,CA,CA,0
493,CA,IR,0.14
494,CA,AM,0.49
495,CA,IT,11.80
496,CA,VN,0.42
497,CA,ZA,0.28
498,CA,AT,0.35
499,CA,IN,7.23
500,CA,ET,0.35
501,CA,IE,0.21
502,CA,ID,0.91
503,CA,ES,1.47
504,CA,PE,0.21
505,CA,SY,0.21
506,CA,MA,0.21
507,CA,UZ,0.07
508,CA,MM,0.14
509,CA,SG,0.21
510,CA,IL,0.77
511,CA,MN,0.35
512,CA,US,13.62
513,CA,KR,6.95
514,CA,SA,0.07
515,CA,MY,0.56
516,CA,MX,3.44
517,CA,GB,6.32
518,KR,FR,6.58
519,KR,DE,3.95
520,KR,JP,9.74
521,KR,HU,0.26
522,KR,JM,0.26
523,KR,GR,4.47
524,KR,RU,0.26
525,KR,LB,0.79
526,KR,TR,0.79
527,KR,TH,3.16
528,KR,NP,1.84
529,KR,PK,0.26
530,KR,PH,0.53
531,KR,EG,0.26
532,KR,PL,0.53
533,KR,CI,0.26
534,KR,CH,0.26
535,KR,CN,10.26
536,KR,IQ,0.26
537,KR,YE,0.26
538,KR,CA,0.53
539,KR,IT,18.16
540,KR,VN,4.21
541,KR,ZA,1.05
542,KR,IL,1.32
543,KR,IN,2.63
544,KR,ID,0.79
545,KR,ES,0.26
546,KR,SG,1.84
547,KR,MN,0.26
548,KR,US,9.47
549,KR,KR,0
550,KR,SA,0.53
551,KR,MY,0.26
552,KR,MX,5.53
553,KR,GB,7.89
554,KR,AT,0.26
555,SG,BD,0.11
556,SG,FR,1.72
557,SG,BN,0.11
558,SG,DE,0.11
559,SG,JP,3.97
560,SG,GR,0.86
561,SG,LB,0.21
562,SG,PT,0.11
563,SG,TR,0.21
564,SG,LK,0.11
565,SG,TH,2.36
566,SG,NP,0.11
567,SG,PK,0.11
568,SG,PH,1.07
569,SG,CA,0.11
570,SG,CN,47.32
571,SG,YE,0.97
572,SG,EG,0.32
573,SG,IT,1.39
574,SG,VN,0.43
575,SG,ZA,0.11
576,SG,AU,0.11
577,SG,IL,0.32
578,SG,IN,6.44
579,SG,IE,0.11
580,SG,ID,7.19
581,SG,ES,0.21
582,SG,SY,0.11
583,SG,MM,0.32
584,SG,SG,0
585,SG,MN,0.11
586,SG,US,1.82
587,SG,KR,6.01
588,SG,MY,13.52
589,SG,MX,0.32
590,SG,GB,1.39
591,SG,AT,0.21
592,DK,FR,6.12
593,DK,DK,0
594,DK,DE,2.04
595,DK,JP,1.02
596,DK,JM,1.02
597,DK,GR,2.04
598,DK,PS,1.02
599,DK,LB,2.04
600,DK,PT,1.02
601,DK,TR,1.02
602,DK,TH,1.02
603,DK,PE,2.04
604,DK,NP,1.02
605,DK,PH,1.02
606,DK,CA,1.02
607,DK,PL,1.02
608,DK,CN,4.08
609,DK,RU,5.10
610,DK,IQ,1.02
611,DK,EG,2.04
612,DK,IR,1.02
613,DK,IT,5.10
614,DK,ZA,2.04
615,DK,IL,1.02
616,DK,IN,6.12
617,DK,IE,2.04
618,DK,ES,1.02
619,DK,UZ,1.02
620,DK,MM,1.02
621,DK,MN,1.02
622,DK,US,4.08
623,DK,KR,32.65
624,DK,MX,4.08
625,DK,GB,1.02
626,DE,BD,0.18
627,DE,BE,0.73
628,DE,FR,4.95
629,DE,MN,0.37
630,DE,DE,0
631,DE,JP,1.10
632,DE,HU,0.92
633,DE,DZ,0.55
634,DE,GR,2.94
635,DE,RU,2.57
636,DE,LB,2.75
637,DE,PT,0.37
638,DE,TR,4.59
639,DE,NG,1.65
640,DE,LT,0.37
641,DE,TH,2.75
642,DE,PE,0.18
643,DE,NP,0.73
644,DE,PK,0.18
645,DE,PH,0.37
646,DE,RO,0.73
647,DE,PL,1.47
648,DE,CH,1.10
649,DE,CO,0.18
650,DE,CN,6.97
651,DE,AF,0.37
652,DE,IQ,0.37
653,DE,YE,0.18
654,DE,EG,1.83
655,DE,IR,0.37
656,DE,IT,13.94
657,DE,EC,0.18
658,DE,ZA,0.37
659,DE,IL,2.02
660,DE,IN,7.89
661,DE,VN,0.73
662,DE,ET,0.37
663,DE,ID,1.28
664,DE,ES,1.10
665,DE,SY,0.18
666,DE,MA,0.55
667,DE,MM,0.18
668,DE,KH,0.18
669,DE,US,6.24
670,DE,KR,4.22
671,DE,UA,0.37
672,DE,MX,4.04
673,DE,GB,4.95
674,DE,AT,9.36
675,US,BD,0.42
676,US,BE,0.41
677,US,FR,5.59
678,US,MN,0.24
679,US,DJ,0.01
680,US,UA,0.03
681,US,RU,1.99
682,US,DE,0.99
683,US,JP,4.01
684,US,HU,0.13
685,US,JM,1.24
686,US,JO,0.04
687,US,DZ,0.16
688,US,BR,0.03
689,US,GR,3.34
690,US,PR,0.21
691,US,PS,0.05
692,US,LB,2.92
693,US,PT,0.99
694,US,TW,0.04
695,US,TR,1.37
696,US,LK,0.01
697,US,NG,0.11
698,US,TN,0.08
699,US,LT,0.21
700,US,CU,1.65
701,US,TH,3.03
702,US,NL,0.49
703,US,NP,0.26
704,US,PK,0.68
705,US,PH,2.65
706,US,GH,0.14
707,US,EG,0.70
708,US,PL,0.16
709,US,EC,0.07
710,US,VE,0.33
711,US,CI,0.07
712,US,CH,0.21
713,US,CO,0.62
714,US,CN,9.57
715,US,AF,0.79
716,US,IQ,0.41
717,US,YE,0.49
718,US,CA,0.84
719,US,IR,0.28
720,US,AM,0.32
721,US,IT,15.48
722,US,AO,0.01
723,US,ZA,0.37
724,US,AR,0.03
725,US,AT,0.18
726,US,IN,8.44
727,US,VN,0.71
728,US,ET,0.64
729,US,IE,0.34
730,US,ID,0.53
731,US,ES,2.08
732,US,ER,0.01
733,US,PE,1.07
734,US,SY,0.14
735,US,RO,0.13
736,US,MA,0.17
737,US,UZ,0.20
738,US,MM,0.46
739,US,SG,0.26
740,US,IL,0.84
741,US,KH,0.30
742,US,SV,0.17
743,US,US,0
744,US,KR,5.02
745,US,SA,0.03
746,US,MY,0.20
747,US,MX,8.99
748,US,GB,4.84
749,TR,FR,2.59
750,TR,DE,0.52
751,TR,JP,0.52
752,TR,HU,0.52
753,TR,GR,2.07
754,TR,RU,2.59
755,TR,LB,13.47
756,TR,NO,2.59
757,TR,TW,2.07
758,TR,TR,0
759,TR,TH,2.07
760,TR,NP,0.52
761,TR,PH,3.63
762,TR,PL,0.52
763,TR,CN,1.04
764,TR,IQ,1.55
765,TR,YE,1.04
766,TR,EG,2.07
767,TR,AL,9.84
768,TR,IT,21.76
769,TR,IL,2.07
770,TR,IN,11.92
771,TR,IE,0.52
772,TR,ID,0.52
773,TR,SY,2.59
774,TR,MA,0.52
775,TR,UZ,0.52
776,TR,US,2.07
777,TR,KR,2.59
778,TR,MX,1.55
779,TR,GB,3.11
780,TR,AT,1.04
781,TH,BD,0.51
782,TH,FR,4.06
783,TH,KH,1.02
784,TH,DE,1.02
785,TH,JP,6.60
786,TH,RU,0.25
787,TH,PT,1.78
788,TH,TR,0.76
789,TH,TH,0
790,TH,PH,2.54
791,TH,EG,0.25
792,TH,CH,0.25
793,TH,CN,35.03
794,TH,YE,0.51
795,TH,CA,1.02
796,TH,IT,7.11
797,TH,VN,0.25
798,TH,IL,0.25
799,TH,IN,5.84
800,TH,ET,0.51
801,TH,IE,0.25
802,TH,ID,1.27
803,TH,ES,0.25
804,TH,MM,8.88
805,TH,SG,2.28
806,TH,MN,0.25
807,TH,US,4.57
